latitude,longitude,cumulative_distance,terrain
10.014862,76.3630281,584.5882135931538,"civil station, road"
10.0148472,76.3627585,584.6178163188752,"civil station, road"
10.0150286,76.3625723,584.6464397844218,"civil station, road"
10.015326,76.3624284,584.6829221145591,"civil station, road"
10.0155851,76.3622623,584.7168768237129,"civil station, road"
10.015843,76.3620602,584.752996823618,"civil station, road"
10.0160264,76.3618339,584.7850443787424,"civil station, road"
10.0160614,76.3615723,584.8139847223667,"civil station, road"
10.0161496,76.3613075,584.8446111031552,"civil station, road"
10.0162604,76.3609746,584.8831109016227,"civil station, road"
10.0163356,76.3606513,584.9195184110484,"civil station, road"
10.0163512,76.3603802,584.9492902001184,"civil station, road"
10.016293,76.3601213,584.9783952412961,"civil station, road"
10.0162515,76.3598666,585.0066937625694,"civil station, road"
10.0162064,76.3595997,585.0363772185308,"civil station, road"
10.0161593,76.3593323,585.0661526245538,"civil station, road"
10.0161304,76.3591199,585.0896572518643,"civil station, road"
10.0161377,76.3589231,585.1112483165549,"civil station, road"
10.0161371,76.3589114,585.1125327494004,"civil station, road"
10.0161233,76.3587529,585.1299766408109,"civil station, road"
10.0160513,76.3584963,585.159214207001,"civil station, road"
10.0160032,76.358304,585.1809577491354,"civil station, road"
10.015962,76.3580208,585.212338741037,"civil station, road"
10.0159448,76.357806,585.2359648474882,"civil station, road"
10.0158997,76.3575614,585.2632413572319,"civil station, road"
10.0158689,76.3574636,585.2744917579157,"civil station, road"
10.0158161,76.3572782,585.2956402614099,"civil station, road"
10.0157438,76.3569779,585.3295206753436,"civil station, road"
10.015706,76.3567756,585.3520902910851,"civil station, road"
10.0156731,76.3567155,585.359617399319,"civil station, road"
10.0156016,76.3565414,585.380278202798,"civil station, road"
10.0155917,76.3565097,585.3839220308778,"civil station, road"
10.0155456,76.3563418,585.4030227834926,"civil station, road"
10.015527,76.3562827,585.4098209342409,"civil station, road"
10.0154853,76.3560568,585.4350131196236,"civil station, road"
10.0154422,76.3557624,585.4676395786091,"civil station, road"
10.0154265,76.355491,585.4974449276978,"civil station, road"
10.0154007,76.3552693,585.5219177761512,"civil station, road"
10.0154068,76.3552025,585.5292723546744,"civil station, road"
10.0154152,76.355124,585.53792864524,"civil station, road"
10.0154067,76.3549693,585.554915093218,"civil station, road"
10.0153928,76.3548909,585.5636468339047,"civil station, road"
10.0154122,76.3547655,585.5775614110593,"civil station, road"
10.0154155,76.3547314,585.5813177132139,"civil station, road"
10.0154596,76.3544274,585.6150015579302,"civil station, road"
10.0155579,76.3541318,585.649184682866,"civil station, road"
10.0157013,76.3539108,585.6781437560501,"civil station, road"
10.0158783,76.3536529,585.7125346939935,"civil station, road"
10.0159884,76.3532868,585.7544784874126,"civil station, road"
10.0160762,76.352871,585.8010872516737,"civil station, road"
10.0162293,76.3525817,585.8370419038898,"civil station, road"
10.0162496,76.352561,585.840234368046,"civil station, road"
10.0164509,76.3524131,585.8677782940255,"civil station, road"
10.0166894,76.3522188,585.9016851073536,"civil station, road"
10.0169504,76.3519747,585.9410498384893,"civil station, road"
10.0172282,76.3517407,585.9810783533591,"civil station, road"
