latitude,longitude
10.0069921,76.3735699
10.0069916,76.3736082
10.0069913,76.3735979
10.0070213,76.3734666
10.0070513,76.3733353
10.0070688,76.373379
10.0070527,76.3733482
10.0070499,76.3733462
10.0070452,76.3733436
10.0070434,76.3733426
10.0070427,76.3733421
10.0070423,76.3733419
10.0070422,76.3733419
10.0070571,76.373353
10.0070677,76.3733608
10.0070813,76.3733702
10.0070924,76.3733762
10.007098150000001,76.3733785
10.007103375,76.3733805
10.0071086,76.3733825
10.0071138,76.3733843
10.0071176,76.3733856
10.007155050000001,76.37344395
10.0071925,76.3735023
10.0071939,76.3735066
10.0071955,76.3735109
10.0072086,76.3735318
10.0072114,76.3735353
10.0072157,76.3735401
10.0072236,76.3735475
10.0072282,76.3735497
10.007233450000001,76.3735527
10.0072387,76.3735557
10.0072564,76.3735643
10.0072603,76.373566
10.0072651,76.3735684
10.0072696,76.373571
10.0072746,76.3735744
10.0072791,76.3735782
10.0072878,76.3735864
10.0073008,76.3735944
10.0073072,76.3736
10.0073071,76.3736016
10.0073069,76.3736038
10.0073072,76.3736069
10.0073076,76.3736104
10.007309,76.3736176
10.0073103,76.3736216
10.0073122,76.3736207
10.007283,76.3736258
10.0072769,76.3736367
10.0072731,76.3736439
10.0072696,76.3736492
10.007266,76.3736515
10.0072536,76.3736442
10.007247150000001,76.373639
10.007239275,76.37363504999999
10.0072314,76.3736311
10.0072269,76.3736289
10.0072086,76.3736237
10.0072046,76.3736214
10.007196,76.3736218
10.0071875,76.3736225
10.0071792,76.3736247
10.0071766,76.3736256
10.0071808,76.3736248
10.0071849,76.3736244
10.0071875,76.3736247
10.0071883,76.3736259
10.0071889,76.3736272
10.0071891,76.3736288
10.0071896,76.3736303
10.007188,76.3736329
10.0071854,76.373636
10.0072035,76.3736496
10.0072096,76.373654
10.0072046,76.373655
10.0072023,76.373655
10.0071942,76.3736521
10.0071913,76.3736501
10.0071896,76.3736498
10.0071857,76.37365125
10.007184200000001,76.37365092499999
10.0071827,76.3736506
10.0071841,76.373645
10.0071842,76.3736415
10.0071836,76.3736375
10.0071779,76.3736354
10.0071879,76.3736358
10.0071924,76.373619
10.0071947,76.3736161
10.0072012,76.3736154
10.0072008,76.3736162
10.0072009,76.3736175
10.00724025,76.37358225
10.0072796,76.373547
10.0072763,76.37355
10.0072725,76.3735541
10.0072666,76.3735689
10.0072646,76.3735687
10.0072734,76.3735839
10.0072777,76.3735828
10.007316,76.3735819
10.0073183,76.373581
10.0073299,76.3735794
10.0073279,76.3735792
10.0073339,76.373583
10.0073406,76.3735872
10.0073403,76.3735658
10.007331,76.3735465
10.0073135,76.3735472
10.007314,76.3735592
10.007215299999999,76.3737126
10.00716185,76.37378835000001
10.0071084,76.3738641
10.00708195,76.3738488
10.0070555,76.3738335
10.0069813,76.37392045
10.00685255,76.37398887500001
10.006756124999999,76.3740278875
10.0065925125,76.37401009375
10.00633755625,76.373962446875
10.006055528125,76.3739799234375
10.005783114062499,76.37402696171876
10.00556435703125,76.37408038085937
10.005347328515626,76.37414349042967
10.005233464257813,76.37416984521484
10.0051196,76.3741962
10.0050696,76.3740219
10.0050283,76.37385895
10.004970499999999,76.373677025
10.004897699999999,76.37350176250001
10.0048205,76.37330193125001
10.004765899999999,76.373164515625
10.004653049999998,76.3729794578125
10.004465224999999,76.37269787890625
10.004249112499998,76.37239433945312
10.00402645625,76.37205361972656
10.003822528125,76.37167990986327
10.0036886640625,76.37134170493164
10.003612282031249,76.37101750246582
10.003587041015624,76.37081215123291
10.003581770507811,76.37070622561646
10.0035765,76.3706003
10.0035859,76.3705868
10.0036048,76.3705565
10.003607,76.3705559
10.0035875,76.3705231
10.0035786,76.3705477
10.0035761,76.3705555
10.003576,76.3705558
10.0037076,76.37042265
10.0039093,76.370215925
10.004125649999999,76.3699935125
10.004314375,76.36978980625
10.0045043375,76.369580653125
10.00470386875,76.3693783265625
10.004895084375,76.36917596328125
10.005066392187501,76.36897103164063
10.00529344609375,76.36875246582031
10.005543223046875,76.36853883291016
10.005813261523437,76.36830066645507
10.006021280761718,76.36802883322753
10.006168490380858,76.36775656661376
10.00630009519043,76.36751368330688
10.006455747595215,76.36730999165344
10.006652473797608,76.36713259582672
10.006864036898804,76.36698154791335
10.007086418449402,76.36685742395667
10.0073417092247,76.36676681197834
10.00763160461235,76.36667410598918
10.007959952306175,76.3666027529946
10.008291376153087,76.3665994764973
10.008618688076544,76.36662658824865
10.008931944038272,76.36664924412432
10.009234672019137,76.36656612206215
10.009559186009568,76.36639941103107
10.009915443004784,76.36623775551553
10.010280871502392,76.36609092775777
10.010596935751195,76.3659520638789
10.010884417875598,76.36582628193945
10.011155358937799,76.36571134096972
10.011443529468899,76.36556657048486
10.011762114734449,76.36540443524243
10.012069457367225,76.36523946762122
10.012407678683612,76.36505543381061
10.012765639341806,76.3648475669053
10.013126869670902,76.36464923345264
10.013487834835452,76.36449806672633
10.013846117417726,76.36436393336317
10.014195808708863,76.36424681668159
10.01457290435443,76.3641237083408
10.014880602177215,76.3639827041704
10.015068651088608,76.3638076520852
10.015117325544304,76.3636212260426
10.015059262772152,76.3633850130213
10.014960631386076,76.36320655651065
10.014903915693038,76.36298252825532
10.01496625784652,76.36277741412766
10.01514612892326,76.36260290706383
10.01536561446163,76.36243260353191
10.015604307230815,76.36224640176596
10.015815353615407,76.36204015088298
10.015938376807703,76.36180622544148
10.016043988403851,76.36155686272073
10.016152194201926,76.36126573136036
10.016243897100964,76.36095851568018
10.016297548550483,76.3606693578401
10.01629527427524,76.36039532892005
10.01627338713762,76.36013096446003
10.016239893568809,76.35986533223002
10.016199596784404,76.35959881611501
10.016164998392203,76.3593593580575
10.0161513491961,76.35914122902875
10.016144224598051,76.35902631451438
10.0161371,76.3589114
10.016094200000001,76.35870385
10.0160487,76.35850392500001
10.01600535,76.3582623625
10.015975075,76.35803418124999
10.0159373875,76.357797790625
10.015903143749998,76.35763069531251
10.015859621874998,76.35745444765625
10.015801710937499,76.35721617382814
10.015753855468748,76.35699588691406
10.015713477734375,76.35685569345704
10.015657538867188,76.35669854672852
10.015624619433595,76.35660412336426
10.0155917,76.3565097
10.01555935,76.3563962
10.015522325,76.3562265
10.0154822625,76.35599445
10.01545438125,76.355742725
10.015427540625002,76.3555060125
10.0154171703125,76.35535425625
10.01541618515625,76.35523912812499
10.015411442578124,76.3551042140625
10.015402121289062,76.35499755703125
10.015407160644532,76.35488152851562
10.015411330322266,76.35480646425782
10.0154155,76.3547314
10.0154867,76.3544316
10.015594,76.3541712
10.01573615,76.35391204999999
10.015862275,76.353599425
10.0159692375,76.3532352125
10.01609926875,76.35290845624999
10.016174434375,76.352734728125
10.0162496,76.352561
10.0164695,76.35238989999999
10.01670995,76.3521823
10.016969074999999,76.35196149999999
10.0171719875,76.35176415
10.01728589375,76.351611525
10.017309296875,76.35154271249999
10.0173788984375,76.35146185625
10.01747749921875,76.351309978125
10.017548199609376,76.3511674890625
10.017595149804688,76.35105679453125
10.017660124902344,76.35086959726561
10.017706112451172,76.35073869863281
10.017764806225586,76.3505924493164
10.017795803112794,76.3505142246582
10.0178268,76.350436
10.01787895,76.35032509999999
10.017555725000001,76.40119354999999
10.0177688625,76.375569175
10.01786748125,76.36273048749999
10.017912590625,76.35630564374999
10.0179577,76.3498808
10.0179528,76.3498608
10.0179354,76.3498599
10.0179334,76.3498641
10.0179244,76.3499067
10.0179199,76.3498955
10.0179203,76.349893
10.0179204,76.3498932
10.0179256,76.3498833
10.0179317,76.3498776
10.0179317,76.3498776
10.0179375,76.3498755
10.0179379,76.3498754
10.0179427,76.3498726
10.0179443,76.3498713
10.0179442,76.3498713
10.0179458,76.3498707
10.0179459,76.3498707
10.017948,76.3498683
10.0179489,76.3498659
10.0179489,76.3498657
10.0179492,76.3498638
10.0179492,76.3498637
10.017952,76.3498599
10.017954,76.3498572
10.017954,76.3498572
10.0179549,76.3498559
10.0179551,76.3498556
10.0179553,76.3498547
10.0179554,76.3498543
10.0179559,76.3498523
10.017956,76.3498518
10.017958,76.34985
10.0179586,76.3498495
10.0179601,76.3498487
10.0179606,76.3498481
10.0179608,76.3498479
10.0179612,76.3498475
10.0179613,76.3498474
10.0179619,76.3498463
10.0179621,76.3498461
10.0179632,76.3498443
10.0179634,76.349844
10.0179648,76.3498425
10.0179649,76.3498424
10.0179646,76.349843
10.0179646,76.349843
10.0179649,76.349844
10.0179649,76.3498442
10.0179597,76.3498397
10.0179567,76.3498366
10.0179542,76.3498339
10.0179453,76.3498292
10.0179412,76.3498259
10.0179384,76.3498221
10.0179365,76.3498176
10.0179374,76.3498066
10.0179394,76.3498015
10.0179412,76.3497985
10.0179421,76.3497948
10.0179432,76.3497914
10.017944,76.3497878
10.0179445,76.3497847
10.017945,76.3497815
10.0179453,76.3497769
10.0179456,76.3497733
10.0179465,76.3497674
10.0179421,76.349758
10.0179426,76.3497549
10.017942,76.3497494
10.0179403,76.3497399
10.0179395,76.3497356
10.0179392,76.3497313
10.0179391,76.3497275
10.0179364,76.3497138
10.017932,76.3497075
10.0179309,76.3496958
10.0179308,76.3496777
10.0179315,76.3496673
10.0178897,76.3496703
10.0178647,76.3496657
10.0178465,76.3496646
10.0178246,76.3496497
10.017826,76.3496451
10.017827,76.3496399
10.0178244,76.3496348
10.017819,76.3496278
10.0178113,76.3496182
10.0178065,76.3496155
10.0178018,76.3496118
10.0177974,76.3496078
10.0178364,76.3495978
10.0178356,76.3495954
10.0178345,76.3495922
10.0178331,76.3495882
10.0178312,76.3495837
10.0178253,76.3495701
10.017822,76.349563
10.0178182,76.3495512
10.0178168,76.3495441
10.0178108,76.3495373
10.017806,76.349534
10.0178121,76.3495199
10.0178207,76.3495148
10.0178272,76.3495072
10.0178294,76.3495043
10.0178296,76.3494959
10.0178296,76.3494899
10.017829,76.3494824
10.0178286,76.3494765
10.0178278,76.3494694
10.0178251,76.3494512
10.0178238,76.3494466
10.017822,76.3494406
10.0178128,76.3494378
10.0178054,76.3494344
10.0177984,76.3494292
10.0177922,76.3494234
10.0177852,76.3494127
10.01778,76.3494064
10.0177757,76.3494014
10.0177486,76.3494054
10.0177129,76.349411
10.0177036,76.3493994
10.0176989,76.3493945
10.0176938,76.3493896
10.0176776,76.3493799
10.0176699,76.3493779
10.0176635,76.3493767
10.0176577,76.349377
10.0176513,76.3493724
10.0176459,76.3493683
10.0176413,76.3493649
10.0176355,76.3493636
10.0176212,76.349358
10.0176199,76.3493593
10.0176204,76.3493617
10.0176264,76.3493648
10.0176337,76.349369
10.0176389,76.3493729
10.017645,76.3493773
10.0176568,76.3493849
10.017661,76.349387
10.0176686,76.3493905
10.0176737,76.3493933
10.0176809,76.3493974
10.0176872,76.3494007
10.0176938,76.3494045
10.0176991,76.3494075
10.0177053,76.3494115
10.0177079,76.3494205
10.0177128,76.349436
10.0177166,76.3494396
10.0177214,76.3494447
10.0177249,76.3494487
10.0177292,76.3494541
10.0177333,76.3494601
10.0177354,76.3494638
10.0177385,76.3494691
10.0177372,76.3494824
10.0177375,76.3494913
10.0177396,76.3494996
10.0177414,76.3495061
10.0177471,76.3495162
10.0177613,76.3495297
10.0177677,76.349532
10.0177735,76.3495341
10.0177795,76.3495383
10.0177883,76.3495484
10.0177925,76.3495513
10.0177988,76.3495557
10.0178146,76.3495656
10.0178192,76.3495677
10.0178199,76.3495742
10.0178219,76.3495816
10.017824,76.349588
10.0178299,76.3495979
10.017837,76.349608
10.0178401,76.3496132
10.017828600000001,76.34964155
10.0178171,76.3496699
10.0178287,76.3496794
10.0178352,76.3496821
10.0178462,76.3496857
10.017855,76.3496864
10.0178633,76.3496851
10.0178824,76.3496836
10.0178925,76.349683
10.0179038,76.3496819
10.0179101,76.3496821
10.0179201,76.3496826
10.0179314,76.349684
10.0179517,76.3496888
10.0179597,76.3496934
10.0179649,76.3496969
10.0179698,76.3497005
10.0179741,76.3497042
10.0179786,76.34970824999999
10.0179818,76.349712375
10.017985,76.3497165
10.0179866,76.3497187
10.0179623,76.3497349
10.0179608,76.3497317
10.0179599,76.3497265
10.0179595,76.3497226
10.0179627,76.349701
10.017965,76.3496936
